festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Pinkpop;Greenday;Nicky;2013;Het was vrij makkelijk gelukt om in het voorste vak te komen, maar had er niet over nagedacht dat ik teenslippers aan had. Teruglopen naar de tent is geen optie, want dan mis je het. Was super vet, topconcert, ik stond naast een hele gezellige man die twee meter was, 120 kilo woog en legerkisten aan had. Hij heeft een keer of 3/4 per ongelijk mijn kleine teen geraakt, niks van gemerkt tot de volgende dag. Mijn schattige kleine teen was groen en paars, geel en zwart, en ik paste geen enkele schoen meer, hij bleek gebroken. Concert had ik niet willen missen.;873.48;258.8;2;;;;
Pinkpop;Imagine Dragons;Stan;2017;Beste act door de passie die ze erin stoppen.;953.47;125.8;2;;;;
Pinkpop;Imagine Dragons;Bas;2017;kippenvel;973.48;148.8;2;;;;
Pinkpop;Kyteman;Tessa;2009;Nog nooit een zaal zo in vervoering zien raken. Iedereen ging op in de muziek. Magisch moment.;873.47;135.8;3;;;;
Pinkpop;Kyteman;Ysanne;2009;Weet niet het jaar meer exact, maar het was op een bloedheet Pinkpop samen met vriendinnen Tessa en Hilje. Kyteman speelde in een kleine tent en het optreden was magisch. Een groot deel improvisatie, veel artiesten en een deinende mensenmassa die volledig meeging in de vibe van het concert.;893.48;158.8;3;;;;
Pinkpop;Paul McCartney;Jana;2016;Pinkpop was afgelopen en we liepen met zijn allen naar camping B. En iedereen zong aan het einde van het optreden mee tot aan de camping, de rest van de week ging het niet meer uit je hoofd.;931.47;330.8;2;;;;
Pinkpop;Paul McCartney;Bas;2016;Ik voel me heel erg vereerd dat ik deze grote meneer live heb mogen aanschouwen. Voor en na afloop van de show werd dit liedje continu geneuried door 80000 festival fans.;913.47;353.8;2;;;;
Pinkpop;Prodigy;Sanne;2010;Kwam op de derde dag moe en brak de tent uit, liep langs het podium en liep even naar binnen. Heb gedanst en gesprongen.;931.47;250.8;5;;;;
Pinkpop;Prodigy;Geert;2010;Het ging helemaal los toen ze begonnen te spelen.;913.47;270.8;5;;;;
Pinkpop;The Killers;Patrick;2013;Vooraan bij the Killers ben ik helemaal los gegaan. Hoogtepunt was dat ik de drumstick van de drummer heb gevangen. Die bewaar ik de rest van mijn leven.;853.47;145.8;2;;;;
Pinkpop;the Killers;Charlotte;2013;Mijn kennismaking met deze Las Vegas helden, wat was ik blij dat ze eindelijk op Pinkpop stonden.;873.48;168.8;2;;;;
Pinkpop;Arcade Fire;Lynn;2014;Het was het jaar van 'de storm'. Ik had Arcade fire nog nooit live gezien, had er helemaal zin in, helemala opgepept, wat ook een geweldig optreden toen opeens die donkere wolk over het mainstage heen trok. Je voelde de spanning in het publiek. Toen de bui uitbarsste speelde ze night time met dat caribisch tussenstukje en confetti wat totaal niet bij de storm paste. Die confetti plakte en de kleur gaf af dus iedereen was helemaal kleurrijk. Iedereen zag eruit als een soort discodip ijsje;1336.22;70.22;3;;;;
Pinkpop;Arctic Monkeys;Jair;2014;I bet you look good on the dancefloor, wat was dat een moshpit!;1336.23;70.23;1;;;;
Pinkpop;Bring me the horizon;Hidde;2016;Mijn eerste festival, toen ik 16 was. Op de 3FM stage, ervoor was een optreden geweest van All time Low, waar mijn sandaal was gesneuveld in de Moshpit. Toen probeerden we het te repareren met Duck Tape, maar dat lukte niet, en we wilden vooraan staan bij Bring me the Horizon. Toen probeerde ik in de menigte nog mn schoen te repareren, maar dat lukte natuurlijk niet want het was veel te druk. Ik stond daar met een rol ducktape, een meisje vroeg nog of ik haar poncho wilde repareren. Uiteindelijk begon het concert, ik stop mn ducktape weg en ga genieten. Mn hele schoen vergeten. Meeschreeuwen met de nummers, geweldig. Na het optreden kon ik de schoen weggooien, verder gegaan op blote voeten.;1336.24;70.24;1;;;;
Pinkpop;Bruce Springsteen;Job;2016;Ik was samen met mijn vader en oom. Ik kende hem wel, maar niet zo goed als mijn vader en oom. Het was een geweldig optreden.;1336.25;70.25;1;;;;
Pinkpop;Bush;Mark;2002;Ik ben een enorme live muziek liefhebber, maar kwam nooit aan festival toe. Toen stonden Live en Faithless op Pinkpop. Ik ben een enorme fan van Live en mijn vrouw van Faithless. Bush wilde ik ook even bekijken. Ik werd echt overvallen door Bush. Ze speelden een superstrakke set, we stonden schuin vooraan. In een ooghoek zag ik Live opkomen, maar Bush was zo geweldig, dus ben gebleven tot het eind.;1336.26;70.26;1;;;;
Pinkpop;Doe Maar;Lammert;2016;Op een veld met 100 of misschien wel 1000 Rammstein fans naar Doe Maar kijken, want daarna kwam Rammstein. De een nog woester dan de ander, maar allemaal meezingen.;1336.27;70.27;1;;;;
Pinkpop;Elbow;Patrick;2011;Mooie lenteavond, de ondergaande zon, de nog hangende warmte en dan die warme stem van Guy Garphy, dat klinkt zo mooi.;1336.28;70.28;3;;;;
Pinkpop;Linkin Park;Anja;2012;De laatste x dat ik Linkin Park live heb kunnen zien. RIP Chester Bennington.;1336.29;70.29;1;;;;
Pinkpop;Macklemore;Dylan;2012;Het was de afterparty op dag 2, heb ik een leuk meisje ontmoet. Toen draaiden ze Macklemore met can't hold us en ik had al een paar biertjes achter de kiezen dus bedacht dat ik een dansje ging doen om indruk te maken. Was een soort vogeltjes dans met de armgebaren passend bij de tekst. Na Pinkpop anderhalf jaar met haar gehad.;1336.30;70.30;1;;;;
Pinkpop;Martin Garrix;Lieke;2017;Hallelujah, wat een vet feestje was dat.;1336.31;70.31;1;;;;
Pinkpop;Muse;Manon;2015;Had nog nooit van Muse gehoord, was met een stel vrienden, ging voor het eerst naar Pinkpop. Vier uur van tevoren vooraanstaan, heb toen ook Elbow ontdekt. Toen kwam Muse, dat was nogal wat, Ik dacht holy fuck wat gebeurt er, allemaal vuur en de band kwam op. Sindsdien ben ik die hard Muse fan.;1336.32;70.32;2;;;;
Pinkpop;Passenger;Gijs;2017;Lekker relaxed, tijdens 'I hate' moest ik wel meezingen.;1336.33;70.33;2;;;;
Pinkpop;Pearl Jam;Jan;1992;Als Eddy Vedder ooit niet meer onder ons is, zullen deze beelden uitgezonden worden. Het moment dat hij tegen het publiek zegt you survived the rain klimt in de paal en vliegt een paar meter en klapt zo het publiek in.;1336.34;70.34;1;;;;
Pinkpop;Queens of the Stone Age;Sanne;2013;Ik was een van de gelukkigen die bij het kleinschalige optreden mocht zijn in de 3 on stage container. Heel gaaf, eerst drie uur zitten wachten omdat hij niet kwam opdagen.;1336.35;70.35;2;;;;
Pinkpop;Ramones;Dylan;nvt;Ik ga al sinds 2011 ieder jaar naar Pinkpop met mijn moeder. Dan bouwen we samen een feestje, in de dancehal op camping B. Elke avond worden de Ramones gedraaid 'hey, ho, lets go', en ieder jaar weer hetzelfde feestje. Als je zegt festival zeg je Ramones.;1336.36;70.36;1;;;;
Pinkpop;Red Hot Chili Peppers;Bas;2016;Eerste pinkpop, ik ging erheen met mijn moeder. Ik ging niet speciaal voor de Red hot chili Peppers maar had wel gezien dat ze kwamen. Ik kende vooral under the bridge, maar ze speelden hem helemaal niet. Toch werd het door dat optreden een van mijn lievelings bands.;1336.37;70.37;1;;;;
Pinkpop;Robbie Williams;Micha;2015;Altijd live dvd's gezien, maar nooit de kans gehad hem echt live te zien. Op pinkpop kwam die droom uit. Ik stond vooraan, ik kon hem nog net niet ruiken, heb alles keihard meegzongen. Het zal nooit meer zo leuk worden als toen.;1336.38;70.38;1;;;;
Pinkpop;Sean Paul;Charlotte;2017;Ik was met mijn vriendinnen, we kwamen van Imagine Dragons af, wat al geweldig was. En gingen toen snel naar Sean Paul, maar we hadden niet heel veel verwachtingen. Toen kwamen we daar aan en zag het zwart van de mensen. Het ging helemaal los, we waren kapot na afloop want we hebben alleen maar staan springen en dansen. Was echt boven verwachting.;1336.39;70.39;2;;;;
Pinkpop;Thirty Seconds to Mars;Rebecca;2013;Ze maken er altijd een geweldige show van;1336.40;70.40;1;;;;
Rock Werchter (inclusief Torhout);Daft Punk;Hilje;1997;surrealistisch, alsof ik op een andere planeet stond!;1417.5;420.1;3;;;;
Rock Werchter (inclusief Torhout);Daft Punk;Casper;1997;Dansen op Daft Punk zonder je voeten te kunnen bewegen door de diepe modder!;1417.6;420.2;3;;;;
